provider_name,unique_plan_id,plan_name,service_type,monthly_price,introductory_rate,contract_required,provider_monthly_fees,one_time_fee_name,one_time_fee_amount,early_termination_fee,government_taxes,discounts_bundles_url,typical_download_mbps,typical_upload_mbps,typical_latency_ms,data_included,additional_data_charge,network_management_url,privacy_policy_url,support_phone,support_url
Wifi Squared,F<FRN>ESSCONN60,Essential Connect,Fixed,60.00,No,No,None,Installation & Equipment Fee,150.00,$0.00,Varies by Location,https://wifisquared.com/terms.html,NEEDED,NEEDED,NEEDED,Unlimited,None,NEEDED,https://wifisquared.com/privacy.html,865-366-4006,https://wifisquared.com/
Wifi Squared,F<FRN>STDCONN75,Standard Connect,Fixed,75.00,No,No,None,Installation & Equipment Fee,150.00,$0.00,Varies by Location,https://wifisquared.com/terms.html,NEEDED,NEEDED,NEEDED,Unlimited,None,NEEDED,https://wifisquared.com/privacy.html,865-366-4006,https://wifisquared.com/
Wifi Squared,F<FRN>PERFCONN97,Performance Connect,Fixed,97.00,No,No,None,Installation & Equipment Fee,150.00,$0.00,Varies by Location,https://wifisquared.com/terms.html,NEEDED,NEEDED,NEEDED,Unlimited,None,NEEDED,https://wifisquared.com/privacy.html,865-366-4006,https://wifisquared.com/
Wifi Squared,F<FRN>ULTRACONN107,Ultra Connect,Fixed,107.00,No,No,None,Installation & Equipment Fee,150.00,$0.00,Varies by Location,https://wifisquared.com/terms.html,NEEDED,NEEDED,NEEDED,Unlimited,None,NEEDED,https://wifisquared.com/privacy.html,865-366-4006,https://wifisquared.com/
Wifi Squared,F<FRN>FIBERCONN75,Fiber Connect,Fixed,75.00,No,No,None,Installation & Equipment Fee,150.00,$0.00,Varies by Location,https://wifisquared.com/terms.html,NEEDED,NEEDED,NEEDED,Unlimited,None,NEEDED,https://wifisquared.com/privacy.html,865-366-4006,https://wifisquared.com/
Wifi Squared,F<FRN>MOBILECONN97,Mobile Connect,Mobile,97.00,No,No,None,Installation & Equipment Fee,150.00,$0.00,Varies by Location,https://wifisquared.com/terms.html,NEEDED,NEEDED,NEEDED,Unlimited,None,NEEDED,https://wifisquared.com/privacy.html,865-366-4006,https://wifisquared.com/
